"Yiddish","ydd",1510430,"","Indo-European",0,"","","","","","","","","","",""
"Macedonian","mkd",1407810,"Europe","Indo-European",0,"Македонский","Mazedonisch","マケドニア語","Macedonio","Macédonien","马其顿语","Macedónio","Macedone","Macedoński","Macedonisch","Macedoneg"
"Greek","ell",13432940,"Europe","Indo-European",0,"Греческий","Griechisch","ギリシャ語","Griego","Grec","","Grego","Greco","Grecki","Grieks","Groeg"
"Serbian","srp",8957906,"Europe","Indo-European",0,"Сербский","Serbisch","セルビア語","Serbio","Serbe","塞尔维亚语","Sérvio","Serbo","Serbski","Servisch","Serbeg"
"Slovenian","slv",2085160,"Europe","Indo-European",0,"Словенский","Slowenisch","スロベニア語","Esloveno","Slovène","斯洛文尼亚语","Esloveno","Sloveno","Słoweński","Sloveens","Slofeneg"
"Norwegian","nob",4741780,"Europe","Indo-European",0,"Букмол","Norwegisch bokmål","ブークモール","Bokmal noruego","Norvégien bokmål","書面挪威語","Bokmål norueguês","Norvegese bokmal","Norweski bokmål","Noors - bokmål","Norwyeg bokmal"
"Polish","pol",38663780,"Europe","Indo-European",0,"Польский","Polnisch","ポーランド語","Polaco","Polonais","波兰语","Polaco","Polacco","Polski","Pools","Pwyleg"
"Central Tibetan","bod",1172940,"","Sino-Tibetan",0,"Тибетский","Tibetisch","チベット語","Tibetano","Tibétain","藏语","Tibetano","Tibetano","Tybetański","Tibetaans","Tibeteg"
"Swedish","swe",9197090,"Europe","Indo-European",0,"Шведский","Schwedisch","スウェーデン語","Sueco","Suédois","瑞典語","Sueco","Svedese","Szwedzki","Zweeds","Swedeg"
"Romanian","ron",23782990,"Europe","Indo-European",0,"Румынский","Rumänisch","ルーマニア語","Rumano","Roumain","羅馬尼亞語","Romeno","Rumeno","Rumuński","Roemeens","Rwmaneg"
"Slovak","slk",5187740,"Europe","Indo-European",0,"Словацкий","Slowakisch","スロバキア語","Eslovaco","Slovaque","斯洛伐克语","Eslovaco","Slovacco","Słowacki","Slowaaks","Slofaceg"
"Hebrew","heb",5302770,"SouthAsia","Afro-Asiatic",0,"Иврит","Hebräisch","サマリア語","Hebreo","Hébreu","","Hebraico","Ebraico","Hebrajski","Hebreeuws","Hebraeg"
"Cantonese","yue",62221560,"SoutheastAsia","Sino-Tibetan",0,"Кантонский","Kantonesisch","広東語","Cantonés","Cantonais","广州话","Cantonês","","Kantoński","Kantonees","Cantoneg"
"Czech","ces",10619340,"Europe","Indo-European",0,"Чешский","Tschechisch","チェコ語","Checo","Tchèque","捷克语","Checo","Ceco","Czeski","Tsjechisch","Tsiec"
"Arabic","arz",236748330,"MiddleEast","Afro-Asiatic",0,"Египетский диалект арабского языка","Ägyptisch-arabisch","アラビア語エジプト方言","Árabe egipcio","Arabe égyptien","埃及阿拉伯語","Árabe egípcio","Arabo egiziano","Dialekt egipski języka arabskiego","",""
"Thai","tha",20396930,"SoutheastAsia","Tai-Kadai",0,"Тайский","Thailändisch","タイ語","Tailandés","Thaï","泰语","Tailandês","Lingua thailandese","Tajski","Thais",""
